序号,代码,名称,市场代码简称,最新价(元) 10:29,涨跌幅(%) 10:29,市盈率(TTM)(倍) 2026.08.12,市净率(倍) 2026.08.12,区间涨跌幅(%) 2026.05.20 - 2026.08.12,收盘价(日线不复权)(元) 10:29,证券类型,涨跌额(元) 10:29,最高价(元) 10:29,最低价(元) 10:29,换手率(%) 10:29,量比 10:29,成交量(股) 10:29,成交额(元) 10:29,市盈率(动)(倍) 2026.08.12,总市值(元) 2026.08.12,流通市值(元) 2026.08.12,CHOICE_INNER_CODE,IN_OPTIONAL
1,603612,索通发展,SH,17.07,0.65,12.00,1.4537,-22.41,17.07,A股,0.110,17.20,16.90,0.57,1.02,286.29万,4885.29万,10.30,85.03亿,85.03亿,1000310536,False
2,920195,三祥科技,BJ,12.49,0.97,11.97,1.4916,-19.78,12.49,A股,0.120,12.52,12.34,0.27,1.25,19.32万,240.82万,21.68,12.24亿,8.84亿,1000365986,False
3,601877,正泰电器,SH,25.35,0.20,11.83,1.2320,-22.64,25.35,A股,0.050,25.45,25.17,0.16,0.90,333.91万,8445.95万,10.75,544.76亿,544.76亿,1000008119,False
4,300815,玉禾田,SZ,16.64,0.97,11.82,1.4531,-24.05,16.64,A股,0.160,16.68,16.40,0.40,0.96,157.90万,2611.51万,10.10,66.33亿,64.96亿,1001592018,False
5,002140,东华科技,SZ,9.00,-0.33,11.79,1.3064,-15.76,9.00,A股,-0.030,9.07,8.96,0.27,1.05,190.74万,1720.29万,12.85,63.72亿,63.63亿,1000007256,False
6,600104,上汽集团,SH,10.26,-0.39,11.67,0.3965,-16.82,10.26,A股,-0.040,10.35,10.23,0.12,1.04,1365.40万,1.40亿,9.74,1179.42亿,1179.42亿,1000002328,False
7,603357,设计总院,SH,6.04,0.00,11.28,0.8641,-15.75,6.04,A股,0.000,6.13,6.03,0.21,1.29,117.87万,715.55万,42.49,33.86亿,33.86亿,1000576777,False
8,600578,京能电力,SH,5.95,-2.78,11.23,1.6544,-25.76,5.95,A股,-0.170,6.23,5.87,1.63,2.94,1.09亿,6.56亿,9.04,398.33亿,398.33亿,1000008877,False
9,603799,华友钴业,SH,43.61,-0.02,11.23,1.6662,-24.29,43.61,A股,-0.010,44.38,43.19,1.96,1.26,3694.84万,16.15亿,8.27,825.77亿,823.19亿,1000412125,False
10,000786,北新建材,SZ,18.46,-0.11,10.96,1.1737,-22.83,18.46,A股,-0.020,18.55,18.25,0.34,1.04,566.64万,1.04亿,9.77,314.23亿,311.88亿,1000000508,False
11,603833,欧派家居,SH,32.11,-0.53,10.60,1.1013,-20.49,32.11,A股,-0.170,32.43,31.90,0.23,0.83,139.47万,4483.10万,31.57,195.48亿,195.48亿,1000376804,False
12,601898,中煤能源,SH,14.20,-0.98,10.60,1.1479,-17.68,14.20,A股,-0.140,14.38,14.11,0.13,0.84,1200.31万,1.71亿,12.24,1882.73亿,1299.58亿,1000007290,False
13,603202,天有为,SH,53.35,-0.47,10.56,1.2867,-23.83,53.35,A股,-0.250,53.68,53.13,0.93,1.74,46.57万,2485.27万,16.81,85.36亿,26.79亿,1003525760,False
14,603613,国联股份,SH,19.29,0.52,10.48,1.4827,-27.94,19.29,A股,0.100,19.46,19.06,0.42,1.17,302.34万,5839.52万,12.68,138.99亿,138.99亿,1001117723,False
15,600780,通宝能源,SH,5.95,-0.50,10.46,0.8157,-18.15,5.95,A股,-0.030,5.99,5.91,0.29,1.43,337.37万,2006.27万,9.91,68.22亿,68.22亿,1000002096,False
16,002011,盾安环境,SZ,10.25,-0.19,10.42,1.6396,-19.59,10.25,A股,-0.020,10.35,10.20,0.18,0.77,192.60万,1973.30万,14.04,110.13亿,108.81亿,1000001951,False
17,000899,赣能股份,SZ,10.78,-1.19,10.36,1.7238,-21.23,10.78,A股,-0.130,11.00,10.66,0.71,1.81,695.18万,7505.83万,13.02,105.18亿,105.18亿,1000000670,False
18,002034,旺能环境,SZ,14.20,0.00,10.17,0.8688,-37.42,14.20,A股,0.000,14.26,14.13,0.34,0.83,173.57万,2463.58万,8.98,72.22亿,71.91亿,1000002187,False
