序号,代码,名称,市场代码简称,最新价(元) 10:29,涨跌幅(%) 10:29,区间涨跌幅(%) 2026.07.16 - 2026.08.12,市盈率(TTM)(倍) 2026.08.12,市净率(倍) 2026.08.12,证券类型,涨跌额(元) 10:29,最高价(元) 10:29,最低价(元) 10:29,换手率(%) 10:29,量比 10:29,成交量(股) 10:29,成交额(元) 10:29,市盈率(动)(倍) 2026.08.12,总市值(元) 2026.08.12,流通市值(元) 2026.08.12,CHOICE_INNER_CODE,CHG<70>{2026-08-12},IN_OPTIONAL
1,603726,朗迪集团,SH,24.01,0.88,-15.34,19.60,3.1976,A股,0.210,24.09,23.76,0.58,0.88,106.25万,2547.13万,12.75,44.57亿,44.34亿,1000305972,0.88,False
2,688719,爱科赛博,SH,49.30,2.52,-15.51,-135.13,3.3815,A股,1.210,49.41,47.68,1.22,1.17,109.48万,5329.49万,-80.95,56.89亿,44.23亿,1000576686,2.52,False
3,688458,美芯晟,SH,33.92,0.09,-15.56,-163.54,2.0778,A股,0.030,34.37,33.80,0.47,0.91,44.47万,1515.40万,-175.37,37.83亿,31.79亿,1003101750,0.09,False
4,002921,联诚精密,SZ,22.37,0.77,-15.68,-436.00,2.5411,A股,0.170,22.49,21.83,1.39,1.09,178.67万,3972.16万,-877.79,33.32亿,28.73亿,1000734414,0.77,False
5,688788,科思科技,SH,30.84,1.02,-15.99,-22.11,3.8395,A股,0.310,30.97,30.26,0.33,0.79,71.52万,2199.57万,-23.25,67.51亿,67.51亿,1002237490,1.02,False
6,688580,伟思医疗,SH,49.84,1.40,-16.09,28.68,2.8895,A股,0.690,50.18,49.00,0.68,1.50,65.50万,3259.21万,19.38,47.73亿,47.73亿,1002095172,1.40,False
7,002515,金字火腿,SZ,7.08,0.43,-16.80,-1491.62,3.3045,A股,0.030,7.15,6.97,1.78,1.25,1957.36万,1.38亿,-527.21,85.71亿,78.01亿,1000008219,0.43,False
8,000032,深桑达Ａ,SZ,14.87,1.09,-18.16,-103.01,2.4564,A股,0.160,15.01,14.50,1.33,1.48,1617.48万,2.40亿,-54.82,180.70亿,180.70亿,1000000214,1.09,False
9,605090,九丰能源,SH,33.90,0.53,-18.51,17.01,2.0324,A股,0.180,34.08,33.51,0.59,1.10,419.05万,1.42亿,13.79,239.53亿,239.29亿,1001592022,0.53,False
10,603324,盛剑科技,SH,28.42,1.97,-18.64,-67.47,2.5415,A股,0.550,28.48,27.88,1.06,1.01,154.83万,4369.54万,-41.24,43.08亿,41.63亿,1002017073,1.97,False
11,603380,易德龙,SH,33.31,0.70,-18.82,25.39,3.5299,A股,0.230,33.42,32.92,0.31,0.76,50.40万,1673.79万,43.86,53.56亿,53.56亿,1000676363,0.70,False
12,603065,宿迁联盛,SH,17.15,0.82,-19.07,-470.76,3.7535,A股,0.140,17.44,16.38,4.83,1.72,2024.02万,3.43亿,330.27,71.85亿,71.85亿,1002786524,0.82,False
13,002843,泰嘉股份,SZ,16.51,0.86,-19.46,-149.73,3.0911,A股,0.140,16.62,16.28,1.12,1.35,279.75万,4605.97万,42.47,41.56亿,41.31亿,1000011263,0.86,False
14,603313,梦百合,SH,6.35,0.32,-19.92,-33.97,1.0666,A股,0.020,6.39,6.26,1.04,1.07,594.77万,3757.79万,-23.77,36.23亿,36.23亿,1000321057,0.32,False
15,688061,灿瑞科技,SH,37.84,1.91,-20.10,-65.64,1.9118,A股,0.710,38.34,36.03,0.53,1.87,61.35万,2327.07万,-51.76,43.47亿,43.47亿,1002887227,1.91,False
16,688332,中科蓝讯,SH,91.48,2.58,-20.51,11.96,3.2407,A股,2.300,92.43,88.19,0.98,1.39,174.47万,1.58亿,-695.50,163.28亿,163.28亿,1002629418,2.58,False
17,603898,好莱客,SH,10.96,0.83,-20.52,-341.40,1.0775,A股,0.090,11.14,10.77,0.36,1.09,109.36万,1192.93万,-37.21,32.91亿,32.91亿,1000310517,0.83,False
18,603890,春秋电子,SH,18.44,0.49,-20.72,26.99,2.5538,A股,0.090,18.54,18.16,1.09,0.80,488.38万,8982.37万,33.92,82.40亿,82.40亿,1000960296,0.49,False
19,000672,上峰材料,SZ,14.03,0.86,-22.01,23.08,1.5771,A股,0.120,14.08,13.89,0.34,0.64,332.50万,4654.85万,106.64,136.10亿,136.10亿,1000004032,0.86,False
20,688550,瑞联新材,SH,38.94,2.02,-24.55,22.31,2.1327,A股,0.770,38.96,38.13,0.85,1.23,150.53万,5810.16万,39.26,68.56亿,68.56亿,1001042693,2.02,False
21,688381,帝奥微,SH,32.59,0.18,-24.77,-78.29,3.2417,A股,0.060,33.00,32.00,0.90,0.95,222.85万,7248.98万,-81.80,80.66亿,80.66亿,1002850616,0.18,False
22,300259,新天科技,SZ,4.34,3.33,-25.43,20.64,1.6686,A股,0.140,4.37,4.20,2.27,1.63,2624.80万,1.12亿,64.50,50.13亿,50.12亿,1000009777,3.33,False
23,688089,ST嘉必优,SH,7.86,0.13,-27.49,23.70,0.8232,A股,0.010,7.95,7.80,0.42,0.85,69.55万,546.63万,-7.50,13.08亿,13.08亿,1000740020,0.13,False
24,600363,联创光电,SH,20.76,1.02,-27.64,20.94,2.0627,A股,0.210,21.20,20.05,7.31,2.31,3294.00万,6.77亿,28.29,93.56亿,93.56亿,1000000884,1.02,False
25,300745,欣锐科技,SZ,29.39,1.21,-27.91,-61.44,2.2371,A股,0.350,29.64,28.93,1.81,1.00,257.55万,7566.76万,231.39,49.54亿,41.83亿,1000975322,1.21,False
26,300873,海晨股份,SZ,17.23,0.23,-29.21,26.67,1.7679,A股,0.040,17.41,17.04,1.46,0.81,342.21万,5887.35万,1128.34,55.52亿,40.31亿,1001881501,0.23,False
27,300780,德恩精工,SZ,20.83,1.61,-30.15,-69.18,3.0505,A股,0.330,21.15,20.25,2.43,1.26,261.45万,5445.79万,-71.37,30.55亿,22.40亿,1001117732,1.61,False
28,002208,合肥城建,SZ,11.50,1.14,-31.99,-16.65,1.5597,A股,0.130,11.58,11.27,1.86,1.17,1494.82万,1.72亿,-92.77,92.38亿,92.35亿,1000007169,1.14,False
