序号,代码,名称,市场代码简称,最新价(元) 10:28,涨跌幅(%) 10:28,区间涨跌幅(%) 2026.05.20 - 2026.08.12,市盈率(TTM)(倍) 2026.08.12,收盘价(日线不复权)(元) 10:28,证券类型,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,成交额(元) 10:28,市盈率(动)(倍) 2026.08.12,市净率(倍) 2026.08.12,总市值(元) 2026.08.12,流通市值(元) 2026.08.12,CHOICE_INNER_CODE,IN_OPTIONAL
1,301170,锡南科技,SZ,23.03,0.52,-20.05,23.28,23.03,A股,0.120,23.12,22.80,0.70,1.23,26.73万,614.35万,24.36,1.2944,23.03亿,8.75亿,1002687838,False
2,688113,联测科技,SH,36.44,0.75,-20.07,24.19,36.44,A股,0.270,36.66,35.88,0.26,0.99,16.57万,603.17万,20.66,2.3488,23.47亿,23.47亿,1002287241,False
3,920089,禾昌聚合,BJ,10.26,-0.10,-20.10,12.98,10.26,A股,-0.010,10.37,10.17,0.27,1.21,30.03万,307.87万,16.38,1.5282,20.10亿,11.45亿,1000388865,False
4,002997,瑞鹄模具,SZ,27.32,0.40,-20.12,14.26,27.32,A股,0.110,27.39,27.00,0.17,0.75,36.44万,993.05万,13.39,2.2742,57.19亿,57.19亿,1001861279,False
5,605303,园林股份,SH,21.79,1.73,-20.12,-21.20,21.79,A股,0.370,21.90,21.30,0.71,1.24,115.11万,2502.35万,-75.84,4.1521,35.13亿,35.13亿,1000576782,False
6,688795,摩尔线程-U,SH,572.02,0.00,-20.13,-362.64,572.02,A股,0.020,576.70,570.01,1.07,0.96,32.23万,1.85亿,-1.16万,22.0803,2688.66亿,172.90亿,1004296975,False
7,301283,聚胶股份,SZ,26.08,-0.08,-20.15,15.51,26.08,A股,-0.020,26.26,26.05,0.42,1.64,38.42万,1004.96万,19.06,1.8997,30.31亿,23.83亿,1002618220,False
8,920003,中诚咨询,BJ,16.96,0.06,-20.16,14.24,16.96,A股,0.010,17.02,16.89,0.18,0.62,3.43万,58.22万,9.14,2.6036,15.37亿,3.30亿,1004433429,False
9,688335,复洁科技,SH,22.34,-0.62,-20.19,-890.10,22.34,A股,-0.140,22.99,22.05,1.10,2.31,162.85万,3664.67万,-53.12,3.0000,33.07亿,33.07亿,1002131490,False
10,300635,中达安,SZ,12.01,0.84,-20.20,-18.62,12.01,A股,0.100,12.08,11.74,0.99,1.26,119.27万,1428.86万,281.92,5.4681,16.82亿,14.46亿,1000576669,False
11,300719,安达维尔,SZ,11.72,0.43,-20.33,-263.02,11.72,A股,0.050,11.83,11.59,0.59,1.19,105.70万,1239.10万,-54.23,2.9511,29.80亿,21.05亿,1000798976,False
12,600768,宁波富邦,SH,15.04,1.76,-20.33,18.73,15.04,A股,0.260,15.15,14.77,1.86,2.25,248.39万,3728.85万,17.19,4.1775,20.12亿,20.12亿,1000002046,False
13,301001,凯淳股份,SZ,24.54,1.03,-20.38,-163.87,24.54,A股,0.250,24.84,24.20,1.22,1.44,61.58万,1511.58万,1109.03,2.5533,19.63亿,12.34亿,1002298436,False
